name,classification,total_count,male_count,female_count,male_share,female_share,rank,prop100k,source
Sharron,female,14098,248,13850,0.017591,0.982409,1970,4.6677244988086279,census_2020_first_names_by_sex
Benita,female,14084,34,14050,0.002414,0.997586,1971,4.6630892212527106,census_2020_first_names_by_sex
Claudio,male,14063,13911,152,0.989191,0.010809,1972,4.6561363049188342,census_2020_first_names_by_sex
America,female,14054,106,13948,0.007542,0.992458,1973,4.6531564836328876,census_2020_first_names_by_sex
Maximiliano,male,14029,13998,31,0.997790,0.002210,1975,4.6448792022830361,census_2020_first_names_by_sex
Lexie,female,14012,211,13801,0.015059,0.984941,1976,4.6392506509651366,census_2020_first_names_by_sex
Nigel,male,14004,13865,139,0.990074,0.009926,1977,4.6366019209331837,census_2020_first_names_by_sex
Guillermina,female,13994,43,13951,0.003073,0.996927,1978,4.6332910083932424,census_2020_first_names_by_sex
Estelle,female,13982,36,13946,0.002575,0.997425,1979,4.6293179133453135,census_2020_first_names_by_sex
Lilah,female,13981,14,13967,0.001001,0.998999,1980,4.6289868220913197,census_2020_first_names_by_sex
Marcie,female,13968,53,13915,0.003794,0.996206,1981,4.6246826357893971,census_2020_first_names_by_sex
Maeve,female,13956,27,13929,0.001935,0.998065,1982,4.6207095407414673,census_2020_first_names_by_sex
Bart,male,13955,13932,23,0.998352,0.001648,1983,4.6203784494874736,census_2020_first_names_by_sex
Adriel,male,13945,13038,907,0.934959,0.065041,1984,4.6170675369475322,census_2020_first_names_by_sex
Rosanna,female,13916,14,13902,0.001006,0.998994,1985,4.6074658905817039,census_2020_first_names_by_sex
Journey,female,13878,1249,12629,0.089999,0.910001,1987,4.5948844229299288,census_2020_first_names_by_sex
Addie,female,13875,213,13662,0.015351,0.984649,1988,4.5938911491679466,census_2020_first_names_by_sex
Addyson,female,13875,64,13811,0.004613,0.995387,1988,4.5938911491679466,census_2020_first_names_by_sex
Misael,male,13844,13733,111,0.991982,0.008018,1990,4.5836273202941298,census_2020_first_names_by_sex
Matilda,female,13836,34,13802,0.002457,0.997543,1991,4.5809785902621769,census_2020_first_names_by_sex
Braylon,male,13830,13647,183,0.986768,0.013232,1992,4.5789920427382125,census_2020_first_names_by_sex
Gunnar,male,13805,13760,45,0.996740,0.003260,1993,4.5707147613883601,census_2020_first_names_by_sex
Fay,female,13775,673,13102,0.048857,0.951143,1994,4.5607820237685379,census_2020_first_names_by_sex
Reba,female,13767,26,13741,0.001889,0.998111,1995,4.558133293736585,census_2020_first_names_by_sex
Brice,male,13758,13324,434,0.968455,0.031545,1996,4.5551534724506384,census_2020_first_names_by_sex
Astrid,female,13752,77,13675,0.005599,0.994401,1997,4.553166924926674,census_2020_first_names_by_sex
Brigitte,female,13751,10,13741,0.000727,0.999273,1998,4.5528358336726793,census_2020_first_names_by_sex
Nataly,female,13727,30,13697,0.002185,0.997815,1999,4.5448896435768216,census_2020_first_names_by_sex
Tuan,male,13719,13456,263,0.980830,0.019170,2000,4.5422409135448696,census_2020_first_names_by_sex
Annamarie,female,13714,12,13702,0.000875,0.999125,2001,4.5405854572748989,census_2020_first_names_by_sex
Porter,male,13714,13036,678,0.950561,0.049439,2001,4.5405854572748989,census_2020_first_names_by_sex
